"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","VABU","","Varied Bunting","Passerina versicolor","PASVER","",TRUE
"","PABU","","Painted Bunting","Passerina ciris","PASCIR","",TRUE
"","DICK","","Dickcissel","Spiza americana","SPIAME","",TRUE
"","BAGT","","Blue-and-gold Tanager","Bangsia arcaei","BANARC","",TRUE
"","SPTA","","Speckled Tanager","Ixothraupis guttata","IXOGUT","",TRUE
"","GAGT","","Gray-and-gold Tanager","Poecilostreptus palmeri","POEPAL","",TRUE
"","ARTA","","Azure-rumped Tanager","Poecilostreptus cabanisi","POECAB","",TRUE
"","BGTA","","Blue-gray Tanager","Thraupis episcopus","THREPI","",TRUE
"","YWTA","","Yellow-winged Tanager","Thraupis abbas","THRABB","",TRUE
"","PATA","","Palm Tanager","Thraupis palmarum","THRPAL","",TRUE
"","GHOT","*","Golden-hooded Tanager","Stilpnia larvata","STILAR","",TRUE
"","GNTA","","Green-naped Tanager","Tangara fucosa","TANFUC","",TRUE
"","SCHT","*","Spangle-cheeked Tanager","Tangara dowii","TANDOW","",TRUE
"","PCTA","","Plain-colored Tanager","Tangara inornata","TANINO","",TRUE
"","RWTA","","Rufous-winged Tanager","Tangara lavinia","TANLAV","",TRUE
"","BHTA","","Bay-headed Tanager","Tangara gyrola","TANGYR","",TRUE
"","EMTA","","Emerald Tanager","Tangara florida","TANFLO","",TRUE
"","STTA","","Silver-throated Tanager","Tangara icterocephala","TANICT","",TRUE
"","WECO","","White-eared Conebill","Conirostrum leucogenys","CONLEU","",TRUE
"","SAFI","","Saffron Finch","Sicalis flaveola","SICFLA","",TRUE
"","GRYF","","Grassland Yellow-Finch","Sicalis luteola","SICLUT","",TRUE
"","SLFI","","Slaty Finch","Haplospiza rustica","HAPRUS","",TRUE
"","PBFI","","Peg-billed Finch","Acanthidops bairdi","ACABAI","",TRUE
"","CBFL","","Cinnamon-bellied Flowerpiercer","Diglossa baritula","DIGBAR","",TRUE
"","SLFL","","Slaty Flowerpiercer","Diglossa plumbea","DIGPLU","",TRUE
"","GRHO","","Green Honeycreeper","Chlorophanes spiza","CHLSPI","",TRUE
"","BAYT","","Black-and-yellow Tanager","Chrysothlypis chrysomelas","CHRCHR","",TRUE
"","SURT","*","Sulphur-rumped Tanager","Heterospingus rubrifrons","HETRUB","",TRUE
"","SBTA","","Scarlet-browed Tanager","Heterospingus xanthopygius","HETXAN","",TRUE
"","YBTA","","Yellow-backed Tanager","Hemithraupis flavicollis","HEMFLA","",TRUE
"","BGRA","*","Blue-black Grassquit","Volatinia jacarina","VOLJAC","",TRUE
"","GHET","*","Gray-headed Tanager","Eucometis penicillata","EUCPEN","",TRUE
"","WSTA","","White-shouldered Tanager","Loriotus luctuosus","LORLUC","",TRUE
"","TCTA","","Tawny-crested Tanager","Tachyphonus delatrii","TACDEL","",TRUE
"","WLTA","","White-lined Tanager","Tachyphonus rufus","TACRUF","",TRUE
"","BTST","","Black-throated Shrike-Tanager","Lanio aurantius","LANAUR","",TRUE
"","WTST","","White-throated Shrike-Tanager","Lanio leucothorax","LANLEU","",TRUE
"","CCTA","","Crimson-collared Tanager","Ramphocelus sanguinolentus","RAMSAN","",TRUE
"","FRTA","","Flame-rumped Tanager","Ramphocelus flammigerus","RAMFLA","",TRUE
"","SCRT","*","Scarlet-rumped Tanager","Ramphocelus passerinii","RAMPAS","",TRUE
"","CBTA","","Crimson-backed Tanager","Ramphocelus dimidiatus","RAMDIM","",TRUE
"","SWTA","","Swallow Tanager","Tersina viridis","TERVIR","",TRUE
"","SHHO","","Shining Honeycreeper","Cyanerpes lucidus","CYALUC","",TRUE
"","PUHO","","Purple Honeycreeper","Cyanerpes caeruleus","CYACAE","",TRUE
"","RLHO","","Red-legged Honeycreeper","Cyanerpes cyaneus","CYACYU","*",TRUE
"","STDA","","Scarlet-thighed Dacnis","Dacnis venusta","DACVEN","",TRUE
"","BLDA","","Blue Dacnis","Dacnis cayana","DACCAY","",TRUE
"","VIDA","","Viridian Dacnis","Dacnis viguieri","DACVIG","",TRUE
"","BANA","","Bananaquit","Coereba flaveola","COEFLA","",TRUE
"","YFGR","","Yellow-faced Grassquit","Tiaris olivaceus","TIAOLI","",TRUE
"","COFI","","Cocos Finch","Pinaroloxias inornata","PININO","",TRUE
"","TBSF","","Thick-billed Seed-Finch","Sporophila funerea","SPOFUN","",TRUE
"","LBSF","","Large-billed Seed-Finch","Sporophila crassirostris","SPOCRA","",TRUE
"","NISF","","Nicaraguan Seed-Finch","Sporophila nuttingi","SPONUT","",TRUE
"","VASE","","Variable Seedeater","Sporophila corvina","SPOCOR","",TRUE
"","SCSE","","Slate-colored Seedeater","Sporophila schistacea","SPOSCH","",TRUE
"","CRSE","","Cinnamon-rumped Seedeater","Sporophila torqueola","SPOTOR","",TRUE
"","MOSE","","Morelet's Seedeater","Sporophila morelleti","SPOMOR","",TRUE
"","YBSE","","Yellow-bellied Seedeater","Sporophila nigricollis","SPONIG","",TRUE
"","RBSE","","Ruddy-breasted Seedeater","Sporophila minuta","SPOMIN","",TRUE
"","WTGF","","Wedge-tailed Grass-Finch","Emberizoides herbicola","EMBHER","",TRUE
"","BHSA","","Black-headed Saltator","Saltator atriceps","SALATR","",TRUE
"","BTSA","","Buff-throated Saltator","Saltator maximus","SALMAX","",TRUE
"","SCOG","*","Slate-colored Grosbeak","Saltator grossus","SALGRO","",TRUE
"","GRAS","*","Grayish Saltator","Saltator coerulescens","SALCOE","",TRUE
"","SSAL","*","Streaked Saltator","Saltator striatipectus","SALSTR","",TRUE
